subID,itemID,trialID,blockID,acc,baseline,"pre(0 = no pre, -1=pre wrong, 1=pre right)"
1,1,1,1,0,0,0
1,2,2,1,0,0,-1
1,3,3,1,0,0.058823529,-1
1,4,4,1,0,0.117647059,-1
1,5,5,1,0,0.294117647,-1
1,9,1,2,0,0.058823529,0
1,10,2,2,0,0,-1
1,11,3,2,0,0.058823529,-1
1,12,4,2,1,0,-1
1,13,5,2,1,0,1
1,17,1,3,0,0,0
1,18,2,3,0,0.058823529,-1
1,19,3,3,0,0.058823529,-1
1,20,4,3,0,0.294117647,-1
1,21,5,3,0,0,-1
1,25,1,4,1,0.117647059,0
1,26,2,4,1,0.117647059,1
1,27,3,4,1,0.058823529,1
1,28,4,4,1,0.235294118,1
1,29,5,4,1,0,1
1,33,1,5,1,0.352941176,0
1,34,2,5,0,0,1
1,35,3,5,0,0.117647059,-1
1,36,4,5,1,0,-1
1,37,5,5,1,0.176470588,1
1,41,1,6,0,0.294117647,0
1,42,2,6,1,0.058823529,-1
1,43,3,6,1,0.235294118,1
1,44,4,6,1,0.411764706,1
1,45,5,6,1,0.235294118,1
1,49,1,7,1,0.294117647,0
1,50,2,7,0,0,1
1,51,3,7,1,0.117647059,-1
1,52,4,7,1,0.588235294,1
1,53,5,7,1,0.176470588,1
1,57,1,8,1,0.117647059,0
1,58,2,8,1,0.058823529,1
1,59,3,8,1,0,1
1,60,4,8,1,0.117647059,1
1,61,5,8,1,0.411764706,1
1,65,1,9,0,0,0
1,66,2,9,1,0.529411765,-1
1,67,3,9,1,0.176470588,1
1,68,4,9,0,0,1
1,69,5,9,1,0.058823529,-1
1,73,1,10,0,0,0
1,74,2,10,0,0.176470588,-1
1,75,3,10,0,0,-1
1,76,4,10,0,0,-1
1,77,5,10,0,0.176470588,-1
1,81,1,11,0,0,0
1,82,2,11,0,0.352941176,-1
1,83,3,11,1,0,-1
1,84,4,11,1,0.588235294,1
1,85,5,11,1,0.411764706,1
1,89,1,12,0,0.117647059,0
1,90,2,12,0,0,-1
1,91,3,12,0,0.294117647,-1
1,92,4,12,0,0.058823529,-1
1,93,5,12,0,0,-1
2,1,1,1,0,0,0
2,2,2,1,0,0,-1
2,3,3,1,0,0.058823529,-1
2,4,4,1,0,0.117647059,-1
2,5,5,1,0,0.294117647,-1
2,9,1,2,0,0.058823529,0
2,10,2,2,1,0,-1
2,11,3,2,1,0.058823529,1
2,12,4,2,1,0,1
2,13,5,2,1,0,1
2,17,1,3,0,0,0
2,18,2,3,0,0.058823529,-1
2,19,3,3,0,0.058823529,-1
2,20,4,3,0,0.294117647,-1
2,21,5,3,0,0,-1
2,25,1,4,1,0.117647059,0
2,26,2,4,1,0.117647059,1
2,27,3,4,1,0.058823529,1
2,28,4,4,1,0.235294118,1
